[2026-04-21 22:54:48] ACC1001 | DEPOSIT | ₹2000.0
[2026-04-21 22:54:48] ACC1001 | WITHDRAW | ₹1000.0
[2026-04-21 22:54:48] ACC1001 | TRANSFER OUT to ACC1002 | ₹500.0
[2026-04-21 22:54:48] ACC1002 | TRANSFER IN from ACC1001 | ₹500.0
[2026-04-21 22:55:40] ACC1001 | DEPOSIT | ₹2000.0
[2026-04-21 22:55:40] ACC1001 | WITHDRAW | ₹1000.0
[2026-04-21 22:55:40] ACC1001 | TRANSFER OUT to ACC1002 | ₹500.0
[2026-04-21 22:55:40] ACC1002 | TRANSFER IN from ACC1001 | ₹500.0
[2026-04-21 22:56:28] ACC1001 | DEPOSIT | ₹2000.0
[2026-04-21 22:56:28] ACC1001 | WITHDRAW | ₹1000.0
[2026-04-21 22:56:28] ACC1001 | TRANSFER OUT to ACC1002 | ₹500.0
[2026-04-21 22:56:28] ACC1002 | TRANSFER IN from ACC1001 | ₹500.0
[2026-04-21 22:58:23] ACC1001 | DEPOSIT | ₹2000.0
[2026-04-21 22:58:23] ACC1001 | WITHDRAW | ₹1000.0
[2026-04-21 22:58:23] ACC1001 | TRANSFER OUT to ACC1002 | ₹500.0
[2026-04-21 22:58:23] ACC1002 | TRANSFER IN from ACC1001 | ₹500.0
[2026-04-21 22:58:34] ACC1001 | DEPOSIT | ₹2000.0
[2026-04-21 22:58:34] ACC1001 | WITHDRAW | ₹1000.0
[2026-04-21 22:58:34] ACC1001 | TRANSFER OUT to ACC1002 | ₹500.0
[2026-04-21 22:58:34] ACC1002 | TRANSFER IN from ACC1001 | ₹500.0
[2026-04-21 22:58:42] ACC1001 | DEPOSIT | ₹2000.0
[2026-04-21 22:58:42] ACC1001 | WITHDRAW | ₹1000.0
[2026-04-21 22:58:42] ACC1001 | TRANSFER OUT to ACC1002 | ₹500.0
[2026-04-21 22:58:42] ACC1002 | TRANSFER IN from ACC1001 | ₹500.0
[2026-04-21 23:04:50] ACC1001 | DEPOSIT | ₹6000.0
